X,Y,buildingfootprintarea,percentbuilt,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley,distToTree,distToWalkway,distToRoad,distToPath,distToCourtTrack,distToCarpark,id,gridarea,roadarea,percentroad,patharea,percentpath,walkwayarea,percentwalkway,courttrackarea,percentcourttrack,carparkarea,percentcarpark,numtrees
20865.2708798223,30669.7476690181,,,37.08503,13.58778,Zone 4,,Temparea,,3.22249140066169,13.5484306685983,18.9570797537596,40.8929561856327,6.14773054803388,120.840266426352,"51",399.9995,,,,,,,33.7447425805412,8.43619619038054,,,"3"
20885.3038571749,30690.7563966834,,,30.17857,14.11646,Zone 4,,,,6.45518636605761,4.92889933235693,0,33.6659279136576,15.2807378830788,91.9121207040846,"123",399.9995,188.04786889072,47.0120259877125,,,23.8529553810724,5.96324629932596,,,,,"1"
20885.3033277934,30669.7471635758,,,24.15622,14.27769,Zone 4,,Temparea,,14.6084309997778,14.7708854305242,20.1317130041866,21.2441668885227,0,106.849989981388,"124",399.9995,,,,,,,270.687061232043,67.6718498978231,,,"0"
20885.3028263457,30649.8436796083,0.08977,0.02244,9.97645,14.10304,Zone 4,,Temparea,,2.87016410463012,34.5390642410931,39.9109588628261,24.8885336959494,0.680945415951135,116.934885149478,"125",399.9995,,,,,,,204.544150244476,51.1361014812458,,,"1"
20905.3378043312,30750.46634454,,,34.10808,15.45979,Zone 4,,,,22.0497086394978,33.8688420687146,0,50.6131574494457,70.4153488367343,49.4605980546707,"193",399.9995,268.386400458838,67.0966839855645,,,,,,,,,"0"
20905.3373040129,30730.5628605276,,,28.78522,15.26633,Zone 4,,,,15.5826980185607,24.9271498448576,0,61.0840985242096,50.6417427084521,53.4814475733385,"194",399.9995,385.279278532713,96.3199400331033,,,,,,,,,"0"
20905.3368037643,30710.6593765436,,,20.73532,15.08202,Zone 4,,,,8.0245398258992,16.9481623183475,0,45.8387162014156,31.0346292411043,63.7689348518311,"195",399.9995,246.472314129798,61.618155555144,,,,,,,,,"2"
20905.3363035852,30690.7558925879,,,15.91699,15.08916,Zone 4,,,,4.26064180523969,2.61614870074881,1.38066197196357,25.9707333671266,12.2484659894169,77.8780213497891,"196",399.9995,155.460674945545,38.8652173179079,,,50.9082646852765,12.7270820801717,0.038235725711508,0.00955894337655623,,,"3"
20905.3357756938,30669.7466595543,16.73874,4.18469,8.11275,14.76558,Zone 4,,Temparea,,8.6549147823334,14.6729937122442,22.2382055629613,5.29653488370671,0.764273871185697,89.2826119703612,"197",399.9995,,,12.0731142417455,3.01828233328929,,,144.810888180799,36.2027672986589,,,"1"
20905.3352756577,30649.8431756569,205.88446,51.47118,0,14.81251,Zone 4,,Temparea,Valley,11.4350932649885,34.4761732918878,42.0257435895519,11.1536886065053,4.51681427831608,100.059039800337,"198",399.9995,,,2.51555655032582,0.628889923693859,,,69.1746176998373,17.2936760420544,,,"1"
