X,Y,X,Y,id,gridarea,buildingfootprintarea,percentbuilt,join_Point_X,join_Point_Y,distToBuilding,terrain,HorticultureZone,Area,Temparea,Valley
21245.9051457456,31410.5901861723,103.77263,1.30034,"1401",399.99955,201.61424,50.40362,103.77263,1.30029,0.00000,25.18865,Zone 1,,Temparea,Valley
21245.904667241,31390.6867023786,103.77263,1.30016,"1402",399.99955,172.72952,43.18243,103.77263,1.30029,0.00000,27.64401,Zone 1,,Temparea,Valley
21265.9375397269,31410.5897052493,103.77281,1.30034,"1474",399.99955,59.78153,14.94540,103.77305,1.30031,3.89866,23.85561,Zone 1,,Temparea,Valley
21265.9370626412,31390.6862215221,103.77281,1.30016,"1475",399.99955,52.50534,13.12635,103.77263,1.30029,6.60783,26.24175,Zone 1,,Temparea,Valley
21285.9704093727,31430.4927094439,103.77299,1.30052,"1546",399.99955,190.16351,47.54093,103.77304,1.30051,0.45309,21.62165,Zone 1,,Temparea,Valley
21285.96993364,31410.5892257545,103.77299,1.30034,"1547",399.99955,108.91495,27.22877,103.77305,1.30031,0.00000,22.24361,Zone 1,,Temparea,Valley
21285.9694579732,31390.6857420936,103.77299,1.30016,"1548",399.99955,14.06953,3.51739,103.77297,1.29991,8.03792,24.91940,Zone 1,,Temparea,Valley
21285.9689823722,31370.7822584611,103.77299,1.29998,"1549",399.99955,161.72970,40.43247,103.77297,1.29991,0.00000,27.17571,Zone 1,,Temparea,Valley
21285.9684804203,31349.7730257689,103.77299,1.29979,"1550",399.99955,209.08622,52.27161,103.77297,1.29991,0.00000,28.33262,Zone 1,,Temparea,Valley
21306.0028018015,31430.4922313111,103.77317,1.30052,"1619",399.99956,199.81289,49.95328,103.77304,1.30051,0.86043,21.19942,Zone 1,,Temparea,Valley
21306.0023274879,31410.5887476878,103.77317,1.30034,"1620",399.99956,171.04370,42.76097,103.77304,1.30051,0.06013,21.76026,Zone 1,,Temparea,Valley
21306.0018532399,31390.685264093,103.77317,1.30016,"1621",399.99956,126.98361,31.74594,103.77336,1.30015,1.10143,23.55190,Zone 1,,Temparea,Valley
21306.0013790576,31370.7817805267,103.77317,1.29998,"1622",399.99956,69.94875,17.48721,103.77342,1.29989,4.69723,25.37258,Zone 1,,Temparea,Valley
21306.000878603,31349.7725479043,103.77317,1.29979,"1623",399.99956,102.01799,25.50453,103.77342,1.29989,2.37466,26.56555,Zone 1,,Temparea,Valley
21326.0347212693,31410.5882710493,103.77335,1.30034,"1693",399.99956,186.89835,46.72464,103.77331,1.30034,0.00000,21.93338,Zone 1,,Temparea,Valley
21326.0342484402,31390.6847875205,103.77335,1.30016,"1694",399.99956,190.08038,47.52015,103.77336,1.30015,0.00000,22.62034,Zone 1,,Temparea,Valley
21326.0337756766,31370.7813040201,103.77335,1.29998,"1695",399.99956,109.28932,27.32236,103.77342,1.29989,0.00000,23.70560,Zone 1,,Temparea,Valley
21326.0332767193,31349.7720714673,103.77335,1.29979,"1696",399.99956,2.89928,0.72482,103.77331,1.29953,11.00288,25.31130,Zone 1,,Temparea,Valley
21326.0328040902,31329.8685880255,103.77335,1.29961,"1697",399.99956,113.34789,28.33700,103.77331,1.29953,1.32525,26.53278,Zone 1,,Temparea,Valley
21326.0323315265,31309.9651046121,103.77335,1.29943,"1698",399.99956,233.67235,58.41815,103.77331,1.29953,0.00000,27.92134,Zone 1,,Temparea,Valley
21346.0671149844,31410.587795839,103.77353,1.30034,"1766",399.99956,216.61905,54.15482,103.77361,1.30034,3.72631,23.21921,Zone 1,,Temparea,Valley
21346.0666435742,31390.6843123759,103.77353,1.30016,"1767",399.99956,176.05399,44.01355,103.77336,1.30015,1.26792,22.78178,Zone 1,,Temparea,Valley
21346.0661722293,31370.7808289413,103.77353,1.29998,"1768",399.99956,68.26826,17.06708,103.77342,1.29989,0.71937,23.35522,Zone 1,,Temparea,Valley
21346.0656747693,31349.7715964578,103.77353,1.29979,"1769",399.99956,41.05310,10.26329,103.77342,1.29989,5.80470,23.94737,Zone 1,,Temparea,Valley
21366.0990386421,31390.6838386593,103.77371,1.30016,"1840",399.99956,208.75863,52.18971,103.77361,1.30034,1.63401,25.07361,Zone 1,,Temparea,Valley
21366.0985687159,31370.7803552902,103.77371,1.29998,"1841",399.99956,226.32026,56.58013,103.77342,1.29989,2.21905,24.49506,Zone 1,,Temparea,Valley
21366.0980727532,31349.7711228759,103.77371,1.29979,"1842",399.99956,169.22233,42.30563,103.77390,1.29987,0.00000,23.88275,Zone 1,,Temparea,Valley
21386.1309651367,31370.7798830669,103.77389,1.29998,"1914",399.99957,295.89180,73.97303,103.77390,1.29987,0.00000,26.67741,Zone 1,,Temparea,Valley
21386.1304706713,31349.7706507216,103.77389,1.29979,"1915",399.99957,304.35405,76.08859,103.77390,1.29987,0.00000,25.56515,Zone 1,,Temparea,Valley
21406.1628685237,31349.7701799948,103.77407,1.29979,"1988",399.99957,230.46733,57.61689,103.77390,1.29987,0.00000,26.66647,Zone 1,,Temparea,Valley
22086.1363367908,30629.9125002405,103.78018,1.29328,"4506",399.99965,146.10250,36.52566,103.78053,1.29309,3.73405,56.36289,Zone 2,,Temparea,Valley
22086.1359200751,30610.0090201818,103.78018,1.29310,"4507",399.99965,160.48193,40.12052,103.78046,1.29296,4.61428,51.55318,Zone 2,,Temparea,Valley
22106.1691990054,30649.8155615346,103.78036,1.29346,"4578",399.99966,132.26294,33.06576,103.78065,1.29324,0.00000,62.61015,Zone 2,,Temparea,Valley
22106.1687836431,30629.9120815057,103.78036,1.29328,"4579",399.99966,121.61150,30.40290,103.78053,1.29309,0.00000,55.97688,Zone 2,,Temparea,Valley
22106.1683683386,30610.0086015052,103.78036,1.29310,"4580",399.99966,121.45704,30.36429,103.78046,1.29296,0.00000,49.74704,Zone 2,,Temparea,Valley
22106.1679530919,30590.105121533,103.78036,1.29292,"4581",399.99966,79.05227,19.76308,103.78022,1.29300,0.00000,44.93711,Zone 2,,Temparea,Valley
